genre_ids,popularity,release_date,title,vote_average,vote_count
"Adventure, Fantasy, Family",33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788
"Fantasy, Adventure, Animation, Family",28.734,2010-03-26,How to Train Your Dragon,7.7,7610
"Adventure, Action, Science Fiction",28.515,2010-05-07,Iron Man 2,6.8,12368
"Animation, Comedy, Family",28.005,1995-11-22,Toy Story,7.9,10174
"Action, Science Fiction, Adventure",27.92,2010-07-16,Inception,8.3,22186
"Adventure, Fantasy, Family",26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229
"Action, Adventure, Fantasy, Science Fiction",26.526,2009-12-18,Avatar,7.4,18676
"Animation, Family, Comedy",24.445,2010-06-17,Toy Story 3,7.7,8340
"Animation, Family, Comedy",23.673000000000002,2010-07-09,Despicable Me,7.2,10057
"Animation, Action, Comedy, Family, Science Fiction",22.855,2010-11-04,Megamind,6.8,3635
"Animation, Comedy, Family",22.698,1999-11-24,Toy Story 2,7.5,7553
"Family, Fantasy, Adventure",22.02,2010-03-05,Alice in Wonderland,6.6,8713
"Thriller, Adventure, Action",21.517,2010-08-03,The Expendables,6.1,4647
"Animation, Family",21.511,2010-11-24,Tangled,7.5,6407
"Horror, Crime",20.37,2010-10-28,Saw: The Final Chapter,6.0,1488
"Adventure, Fantasy, Drama, Romance",20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909
"Action, Thriller, Science Fiction",18.985,2010-01-11,The Book of Eli,6.7,3495
"Action, Drama, Thriller",18.199,2004-07-23,The Bourne Supremacy,7.3,4367
"Drama, Thriller, Mystery",18.06,2010-02-18,Shutter Island,8.1,12625
"Action, Drama, Mystery, Thriller",17.935,2002-06-14,The Bourne Identity,7.4,5406
"Action, Comedy",17.713,2010-06-23,Knight and Day,6.0,2494
"Adventure, Family, Fantasy",17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196
"Drama, Romance",17.174,2010-08-06,Step Up 3D,6.7,1160
"Thriller, Action, Adventure, Comedy, Crime",17.097,2010-06-11,The A-Team,6.3,2703
"Drama, History",16.798,2010-09-06,The King's Speech,7.7,5013
"Action, Comedy, Crime, Thriller",16.608,1995-04-07,Bad Boys,6.6,2936
"Action, Adventure, Family, Fantasy",16.595,2010-07-01,The Last Airbender,4.6,2143
"Action, Science Fiction, Adventure, Thriller",16.215999999999998,2010-07-03,Predators,6.1,1979
Drama,15.889000000000001,2010-10-01,The Social Network,7.2,6116
"Action, Thriller",15.886,2010-05-22,Undisputed III: Redemption,7.4,302
"Drama, History",15.855,1995-06-30,Apollo 13,7.4,2821
"Action, Thriller, Science Fiction, Adventure",15.799000000000001,1998-07-01,Armageddon,6.7,4267
"Action, Drama, Mystery, Thriller",15.62,2007-08-03,The Bourne Ultimatum,7.4,4440
"Adventure, Fantasy, Action",15.574000000000002,2010-04-02,Clash of the Titans,5.7,3714
"Comedy, Romance",15.49,2010-04-23,The Back-Up Plan,6.0,806
"Action, Adventure, Drama",15.444,2010-05-14,Robin Hood,6.3,2569
"Comedy, Fantasy, Family",15.213,2010-08-20,Nanny McPhee and the Big Bang,6.1,953
"Comedy, Adventure, Fantasy, Animation, Family",15.040999999999999,2010-05-16,Shrek Forever After,6.1,3843
Comedy,14.69,2010-09-17,Easy A,6.8,4168
"Fantasy, Adventure, Action, Comedy, Drama",14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879
"Action, Comedy, Romance",14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882
Comedy,14.290999999999999,2010-06-24,Grown Ups,6.1,3171
"Comedy, Romance",14.2,1959-03-18,Some Like It Hot,8.2,1562
"Crime, Drama, Action, Thriller",14.172,2010-11-23,Faster,6.2,895
Horror,14.03,2010-02-12,The Wolfman,5.7,1009
"Action, Thriller",14.01,2010-11-12,Unstoppable,6.4,1913
"Drama, Thriller",13.745,2010-12-03,Black Swan,7.6,8374
"Animation, Adventure, Family, Fantasy",13.724,2010-09-21,Tinker Bell and the Great Fairy Rescue,6.5,451
"Adventure, Action, Drama",13.548,2010-02-15,Centurion,6.1,673
"Action, Comedy, Crime",13.508,2010-08-06,The Other Guys,6.2,2187
"Crime, Drama, Thriller",13.475999999999999,2010-09-17,The Town,7.1,2386
"Action, Western, Drama, Fantasy, Thriller",13.467,2010-06-18,Jonah Hex,4.6,708
"Adventure, Action, Science Fiction",13.459000000000001,2010-12-10,TRON: Legacy,6.3,4387
"Adventure, Fantasy, Action, Romance",13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040
"Comedy, Animation, Family",13.347999999999999,1986-07-02,The Great Mouse Detective,7.1,769
"Fantasy, Drama",13.285,2010-01-15,The Lovely Bones,6.8,2226
Drama,13.163,2000-10-06,All About Eve,8.2,685
"Drama, Adventure, Western",13.118,2010-12-22,True Grit,7.2,2816
"Thriller, Crime, Horror",13.102,2010-10-08,I Spit on Your Grave,6.3,977
"Action, Crime",13.08,2010-04-16,Kick-Ass,7.1,7540
"Action, Mystery, Thriller",13.025,2010-07-23,Salt,6.3,3240
"Action, Crime, Thriller",12.862,2010-02-05,From Paris with Love,6.2,1075
"Action, Animation, Mystery",12.704,2010-07-27,Batman: Under the Red Hood,7.7,756
"Animation, Adventure, Fantasy, Family",12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865
"Comedy, Family, Fantasy",12.65,2010-01-22,Tooth Fairy,5.3,1058
"Action, Comedy, Thriller",12.557,2010-09-03,Machete,6.3,1862
Comedy,12.498,2010-04-08,Date Night,6.0,1743
"Comedy, Drama",12.445,2010-11-04,Due Date,6.3,2973
"Action, Science Fiction, Thriller, Crime",12.437000000000001,2010-03-19,Repo Men,6.2,976
"Action, Adventure, Drama, Family",12.255999999999998,2010-06-10,The Karate Kid,6.3,3140
"Comedy, Family",12.255999999999998,2010-03-19,Diary of a Wimpy Kid,6.0,736
"Mystery, Horror, Action",12.245999999999999,2010-02-26,The Crazies,6.2,1036
"Comedy, Romance",12.152999999999999,2010-12-21,Little Fockers,5.6,1883
"Action, Adventure, Comedy, Crime, Thriller",12.082,2010-10-14,RED,6.6,4162
"Drama, Romance, War",12.048,2010-02-04,Dear John,6.8,2676
Horror,12.032,2010-01-22,Legion,5.3,1154
"Romance, Comedy",11.821,2010-01-08,Leap Year,6.7,990
"Comedy, Romance, Drama",11.806,2010-10-02,Life As We Know It,6.8,1748
"Drama, Thriller",11.624,2010-05-20,Fair Game,6.6,384
"Comedy, Music, TV Movie",11.542,2010-09-03,Camp Rock 2: The Final Jam,6.1,878
"War, Action, Adventure, Drama, Thriller",11.519,2010-03-11,Green Zone,6.4,1176
"Action, Adventure, Animation",11.498,2010-02-23,Justice League: Crisis on Two Earths,7.2,277
"Drama, Romance",11.453,2010-03-12,Remember Me,7.1,2079
"Adventure, Drama, Thriller",11.435,2010-11-05,127 Hours,7.0,4469
"Comedy, Horror",11.302,2010-08-20,Piranha 3D,5.3,1029
"Adventure, Drama, Action, Fantasy",11.26,2010-07-16,Valhalla Rising,6.0,582
"Crime, Drama, Mystery, Thriller",11.252,2010-01-29,Edge of Darkness,6.3,794
"Comedy, Romance",11.187000000000001,2010-02-11,Valentine's Day,5.8,1907
"Romance, Drama, Thriller, Crime",11.147,2010-11-19,The Next Three Days,7.0,1469
"Drama, Thriller, Mystery",10.888,2010-09-24,Buried,6.6,1487
"Comedy, Adventure, Family, Fantasy",10.767999999999999,2010-12-25,Gulliver's Travels,5.1,1282
