Movie ID,Primary Title,Movie Length,Genres,Average Rating,Num of Votes,Primary Name,Position,Weighted Rating
tt5813916,The Mountain II,135.0,"Action,Drama,War",9.3,100568,Murat Arkin,actor,9.127445161842545
tt2592910,CM101MMXI Fundamentals,139.0,"Comedy,Documentary",9.2,41560,Can Yilmaz,producer,8.835188417244192
tt1375666,Inception,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,Leonardo DiCaprio,actor,8.791940965997428
tt0816692,Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,Matthew McConaughey,actor,8.589748004528502
tt5354160,Aynabaji,147.0,"Crime,Mystery,Thriller",9.3,18470,Amitabh Reza Chowdhury,director,8.581953937235271
tt2170667,Wheels,115.0,Drama,9.3,17308,Kevin McCorkle,actor,8.548320854159948
tt1675434,The Intouchables,112.0,"Biography,Comedy,Drama",8.5,677343,François Cluzet,actor,8.481532035444621
tt4154756,Avengers: Infinity War,149.0,"Action,Adventure,Sci-Fi",8.5,670926,Robert Downey Jr.,actor,8.48135735327066
tt2582802,Whiplash,106.0,"Drama,Music",8.5,616916,Paul Reiser,actor,8.479744823563138
tt4633694,Spider-Man: Into the Spider-Verse,117.0,"Action,Adventure,Animation",8.5,210869,Avi Arad,producer,8.442081264968929
tt5074352,Dangal,161.0,"Action,Biography,Drama",8.5,123638,Aamir Khan,actor,8.40355460469124
tt1345836,The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769,Gary Oldman,actor,8.391472858459553
tt1853728,Django Unchained,165.0,"Drama,Western",8.4,1211405,Leonardo DiCaprio,actor,8.390239061903923
tt1424432,Senna,106.0,"Biography,Documentary,Sport",8.6,55318,Tim Bevan,producer,8.386722655130695
tt2380307,Coco,105.0,"Adventure,Animation,Comedy",8.4,277194,Benjamin Bratt,actor,8.358208967347398
tt3417422,Drishyam,160.0,"Crime,Drama,Thriller",8.8,24326,Mohanlal,actor,8.33190296455728
tt5311514,Your Name.,106.0,"Animation,Drama,Fantasy",8.4,134084,Clark Cheng,writer,8.315967508687422
tt6316138,Ayla: The Daughter of War,125.0,"Drama,History,War",8.7,26743,Mustafa Presheva,editor,8.286845304149752
tt0435761,Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,682218,Tom Hanks,actor,8.283837370853016
tt7738784,Peranbu,147.0,Drama,9.4,9629,Mammootty,actor,8.267554658765837
tt2106476,The Hunt,115.0,Drama,8.3,242765,Nikolaj Egelund,composer,8.255456591013527
tt8108198,Andhadhun,139.0,"Crime,Thriller",8.5,43409,Tabu,actress,8.251563451452592
tt6966692,Green Book,130.0,"Biography,Comedy,Drama",8.3,204972,Viggo Mortensen,actor,8.247533527947212
tt1832382,A Separation,123.0,"Drama,Thriller",8.3,197684,Leila Hatami,actress,8.245669953553884
