Movie ID,Primary Title,Movie Length,Genres,Average Rating,Num of Votes,Primary Name,Position
tt7738784,Peranbu,147.0,Drama,9.4,9629,Mammootty,actor
tt5354160,Aynabaji,147.0,"Crime,Mystery,Thriller",9.3,18470,Amitabh Reza Chowdhury,director
tt2170667,Wheels,115.0,Drama,9.3,17308,Kevin McCorkle,actor
tt5813916,The Mountain II,135.0,"Action,Drama,War",9.3,100568,Murat Arkin,actor
tt2592910,CM101MMXI Fundamentals,139.0,"Comedy,Documentary",9.2,41560,Can Yilmaz,producer
tt1375666,Inception,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,Leonardo DiCaprio,actor
tt7019842,96,158.0,"Drama,Romance",8.8,10903,Adithya Bhaskar,actor
tt3417422,Drishyam,160.0,"Crime,Drama,Thriller",8.8,24326,Mohanlal,actor
tt5867800,Aruvi,130.0,Drama,8.8,8277,S.R. Prakashbabu,producer
tt7060344,Ratsasan,170.0,"Action,Crime,Thriller",8.8,10518,Nizhalgal Ravi,actor
tt6148156,Vikram Vedha,147.0,"Action,Crime,Thriller",8.7,18704,Madhavan,actor
tt6316138,Ayla: The Daughter of War,125.0,"Drama,History,War",8.7,26743,Mustafa Presheva,editor
tt7392212,The Stage,170.0,"Action,Drama",8.6,15407,Jagapathi Babu,actor
tt1424432,Senna,106.0,"Biography,Documentary,Sport",8.6,55318,Tim Bevan,producer
tt8291224,Uri: The Surgical Strike,138.0,"Action,Drama,War",8.6,30292,Paresh Rawal,actor
tt0816692,Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,Matthew McConaughey,actor
tt2582802,Whiplash,106.0,"Drama,Music",8.5,616916,Paul Reiser,actor
tt4154756,Avengers: Infinity War,149.0,"Action,Adventure,Sci-Fi",8.5,670926,Robert Downey Jr.,actor
tt1675434,The Intouchables,112.0,"Biography,Comedy,Drama",8.5,677343,François Cluzet,actor
tt0770802,Samsara,102.0,"Documentary,Music",8.5,29725,Ron Fricke,director
tt4432480,RangiTaranga,149.0,"Mystery,Thriller",8.5,11203,Sai Kumar,actor
tt4633694,Spider-Man: Into the Spider-Verse,117.0,"Action,Adventure,Animation",8.5,210869,Avi Arad,producer
tt5074352,Dangal,161.0,"Action,Biography,Drama",8.5,123638,Aamir Khan,actor
tt4987556,Thani Oruvan,160.0,"Action,Crime,Thriller",8.5,13747,Nassar,actor
tt6380520,Dhuruvangal Pathinaaru,105.0,"Action,Crime,Mystery",8.5,8560,Rahman,actor
tt8267604,Capernaum,126.0,Drama,8.5,20215,Kawsar Al Haddad,actress
tt8108198,Andhadhun,139.0,"Crime,Thriller",8.5,43409,Tabu,actress
tt1853728,Django Unchained,165.0,"Drama,Western",8.4,1211405,Leonardo DiCaprio,actor
tt1345836,The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769,Gary Oldman,actor
tt5311514,Your Name.,106.0,"Animation,Drama,Fantasy",8.4,134084,Clark Cheng,writer
tt3674140,The Salt of the Earth,110.0,"Biography,Documentary,History",8.4,17262,Wim Wenders,self
tt5312232,Sairat,174.0,"Drama,Romance",8.4,9656,Nitin Keni,producer
tt2358592,Lucia,135.0,"Drama,Romance,Sci-Fi",8.4,10522,Sabreen Baker,actress
tt2380307,Coco,105.0,"Adventure,Animation,Comedy",8.4,277194,Benjamin Bratt,actor
tt3521134,The Look of Silence,103.0,"Biography,Documentary,History",8.3,10162,Nils Pagh Andersen,editor
tt1832382,A Separation,123.0,"Drama,Thriller",8.3,197684,Leila Hatami,actress
tt1645089,Inside Job,109.0,"Crime,Documentary",8.3,65304,Matt Damon,self
tt1891757,Bol,165.0,Drama,8.3,8212,Sajjad Ali,composer
tt2375559,1 - Nenokkadine,170.0,"Action,Mystery,Thriller",8.3,41124,Nassar,actor
tt3668162,Bangalore Days,171.0,"Comedy,Drama,Romance",8.3,12922,Fahadh Faasil,actor
tt3569782,Jigarthanda,171.0,"Action,Crime,Drama",8.3,8484,Nassar,actor
tt0435761,Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,682218,Tom Hanks,actor
tt8239946,Tumbbad,104.0,"Drama,Fantasy,Horror",8.3,14128,Narayan Dharap,writer
tt6966692,Green Book,130.0,"Biography,Comedy,Drama",8.3,204972,Viggo Mortensen,actor
tt2181831,Shahid,129.0,"Biography,Crime,Drama",8.3,12984,Sunil Bohra,producer
tt2218988,Ustad Hotel,151.0,"Comedy,Drama,Family",8.3,9280,Thilakan,actor
tt2395469,Gully Boy,153.0,"Drama,Music",8.3,17483,Zoya Akhtar,director
tt4849438,Baahubali 2: The Conclusion,167.0,"Action,Drama",8.3,65656,S.S. Rajamouli,director
tt2199711,Vishwaroopam,148.0,"Action,Thriller",8.3,37803,Miles Anderson,actor
tt1255953,Incendies,131.0,"Drama,Mystery,War",8.3,124156,Lubna Azabal,actress
tt7838252,K.G.F: Chapter 1,156.0,"Action,Drama",8.3,23771,Archana Jois,actress
tt4679210,Premam,156.0,"Comedy,Drama,Romance",8.3,13705,Anwar Rasheed,producer
tt2106476,The Hunt,115.0,Drama,8.3,242765,Nikolaj Egelund,composer
tt1634013,Montevideo: Taste of a Dream,140.0,"Adventure,Comedy,Drama",8.3,10502,Dragan Bjelogrlic,director
tt4430212,Drishyam,163.0,"Crime,Drama,Mystery",8.3,54991,Tabu,actress
tt5323662,A Silent Voice,130.0,"Animation,Drama,Romance",8.2,24863,Miyu Irino,actor
tt3322420,Queen,146.0,"Comedy,Drama",8.2,55162,Anurag Kashyap,producer
tt2659414,Miracle in Cell No. 7,127.0,"Comedy,Drama",8.2,11282,Hwan-kyung Lee,director
tt3461252,The Blue Elephant,170.0,"Drama,Horror,Mystery",8.2,21776,Khaled El-Sawi,actor
tt0993846,The Wolf of Wall Street,180.0,"Biography,Crime,Drama",8.2,1035358,Leonardo DiCaprio,actor
tt1639426,Udaan,134.0,Drama,8.2,38827,Vikramaditya Motwane,director
tt4934950,Talvar,132.0,"Crime,Drama,Mystery",8.2,25443,Vishal Bhardwaj,writer
tt2375605,The Act of Killing,117.0,"Crime,Documentary",8.2,31115,Joram ten Brink,producer
tt1620933,Paan Singh Tomar,135.0,"Action,Biography,Crime",8.2,29373,Tigmanshu Dhulia,director
tt5571734,Pink,136.0,"Drama,Thriller",8.2,32238,Amitabh Bachchan,actor
tt5027774,"Three Billboards Outside Ebbing, Missouri",115.0,"Crime,Drama",8.2,344047,Woody Harrelson,actor
tt7832124,Müslüm,136.0,"Biography,Drama,Music",8.2,8782,Erkan Can,actor
tt3170832,Room,118.0,"Drama,Thriller",8.2,316791,Sean Bridgers,actor
tt5895028,13th,100.0,"Crime,Documentary,History",8.2,19507,Howard Barish,producer
tt2283748,OMG: Oh My God!,125.0,"Comedy,Drama,Fantasy",8.2,44377,Mithun Chakraborty,actor
tt4833824,Uppi 2,135.0,"Action,Mystery,Thriller",8.2,7705,Sayaji Shinde,actor
tt1291584,Warrior,140.0,"Drama,Sport",8.2,403755,Nick Nolte,actor
tt2338151,PK,153.0,"Comedy,Drama,Fantasy",8.2,138012,Sanjay Dutt,actor
tt7775622,Free Solo,100.0,"Documentary,Sport",8.2,32250,Marco Beltrami,composer
tt3455224,Virunga,100.0,"Documentary,War",8.2,8983,Masahiro Hirakubo,editor
tt2028530,Paradise Lost 3: Purgatory,121.0,"Crime,Documentary",8.1,8337,Joe Berlinger,director
tt2267998,Gone Girl,149.0,"Drama,Mystery,Thriller",8.1,761592,Ben Affleck,actor
tt1821480,Kahaani,122.0,"Mystery,Thriller",8.1,51830,Sujoy Ghosh,director
tt4635372,Masaan,109.0,Drama,8.1,18705,Anurag Kashyap,producer
tt1979320,Rush,123.0,"Action,Biography,Drama",8.1,393437,Ron Howard,director
tt1454029,The Help,146.0,Drama,8.1,392699,Chris Columbus,producer
tt3011894,Wild Tales,122.0,"Comedy,Drama,Thriller",8.1,151123,Pedro Almodóvar,producer
tt4016934,The Handmaiden,145.0,"Drama,Romance,Thriller",8.1,79272,Chung-hoon Chung,cinematographer
tt0848228,The Avengers,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,Robert Downey Jr.,actor
tt1821700,Waar,130.0,"Action,Crime,Thriller",8.1,28950,Shaan Shahid,actor
tt8130968,Badla,118.0,"Crime,Drama,Mystery",8.1,9988,Amitabh Bachchan,actor
tt2882328,Ugly,128.0,"Crime,Drama,Mystery",8.1,16773,Vikramaditya Motwane,producer
tt3268458,The Internet's Own Boy: The Story of Aaron Swartz,105.0,"Biography,Crime,Documentary",8.1,14411,John Dragonetti,composer
tt1562872,Zindagi Na Milegi Dobara,155.0,"Comedy,Drama",8.1,58912,Hrithik Roshan,actor
tt1895587,Spotlight,129.0,"Crime,Drama",8.1,365110,Michael Keaton,actor
tt2631186,Baahubali: The Beginning,159.0,"Action,Drama",8.1,93243,Ramya Krishnan,actress
tt3612616,Mommy,139.0,Drama,8.1,43020,Suzanne Clément,actress
tt3390572,Haider,160.0,"Action,Crime,Drama",8.1,45863,William Shakespeare,writer
tt4857264,Contratiempo,106.0,"Crime,Mystery,Thriller",8.1,84318,Jose Coronado,actor
tt3315342,Logan,137.0,"Action,Drama,Sci-Fi",8.1,560270,Patrick Stewart,actor
tt2140203,Wolf Children,117.0,"Animation,Drama,Family",8.1,31619,Mamoru Hosoda,director
tt4044364,Citizenfour,114.0,"Biography,Documentary,Thriller",8.1,47994,Mathilde Bonnefoy,producer
tt2119532,Hacksaw Ridge,139.0,"Biography,Drama,History",8.1,366904,Mel Gibson,director
tt1201607,Harry Potter and the Deathly Hallows: Part 2,130.0,"Adventure,Drama,Fantasy",8.1,691835,Michael Gambon,actor
tt2024544,12 Years a Slave,134.0,"Biography,Drama,History",8.1,577301,Brad Pitt,actor
tt4387040,Airlift,130.0,"Drama,History",8.1,48323,Akshay Kumar,actor
tt2070649,Silenced,125.0,Drama,8.1,8287,Kim Jee-Young,actress
tt1130884,Shutter Island,138.0,"Mystery,Thriller",8.1,1005960,Leonardo DiCaprio,actor
tt7725596,Badhaai Ho,124.0,"Comedy,Drama",8.1,18636,Neena Gupta,actress
tt3741834,Lion,118.0,"Biography,Drama",8.1,181601,Nicole Kidman,actress
tt2082197,Barfi!,151.0,"Comedy,Drama,Romance",8.1,68941,Ronnie Screwvala,producer
tt2015381,Guardians of the Galaxy,121.0,"Action,Adventure,Comedy",8.1,948394,Vin Diesel,actor
tt1392214,Prisoners,153.0,"Crime,Drama,Mystery",8.1,526273,Kira Davis,producer
tt1392190,Mad Max: Fury Road,120.0,"Action,Adventure,Sci-Fi",8.1,780910,Charlize Theron,actress
tt2486682,The Square,108.0,"Documentary,Drama,History",8.1,7998,Jehane Noujaim,director
tt2926068,Manam,163.0,"Comedy,Drama,Fantasy",8.0,8838,Akkineni Nageshwara Rao,actor
tt1183919,Marley,144.0,"Biography,Documentary,Music",8.0,12503,Bob Marley,archive_footage
tt6146586,John Wick: Chapter 3 - Parabellum,131.0,"Action,Crime,Thriller",8.0,81568,Keanu Reeves,actor
tt0790636,Dallas Buyers Club,117.0,"Biography,Drama",8.0,402462,Matthew McConaughey,actor
tt3449292,Manjhi: The Mountain Man,120.0,"Adventure,Biography,Drama",8.0,16191,Ketan Mehta,director
tt3863552,Bajrangi Bhaijaan,163.0,"Action,Comedy,Drama",8.0,63747,Kareena Kapoor,actress
tt2377938,Special 26,144.0,"Crime,Drama,Thriller",8.0,45299,Manoj Bajpayee,actor
tt3801314,Kaththi,166.0,"Action,Drama",8.0,15620,A. Sreekar Prasad,editor
tt3576728,Bilal: A New Breed of Hero,105.0,"Action,Adventure,Animation",8.0,16854,Thomas Ian Nicholas,actor
tt1504320,The King's Speech,118.0,"Biography,Drama,History",8.0,593629,Colin Firth,actor
tt3659388,The Martian,144.0,"Adventure,Drama,Sci-Fi",8.0,680116,Matt Damon,actor
tt1877832,X-Men: Days of Future Past,132.0,"Action,Adventure,Sci-Fi",8.0,620079,Bryan Singer,director
tt8075192,Shoplifters,121.0,"Crime,Drama",8.0,31228,Haruomi Hosono,composer
tt1856101,Blade Runner 2049,164.0,"Drama,Mystery,Sci-Fi",8.0,376241,Harrison Ford,actor
tt3783958,La La Land,128.0,"Comedy,Drama,Music",8.0,436070,Ryan Gosling,actor
tt3560686,The Fool,116.0,"Crime,Drama,Thriller",8.0,8617,Boris Nevzorov,actor
tt1188996,My Name Is Khan,165.0,Drama,8.0,90988,Kajol,actress
tt1727824,Bohemian Rhapsody,134.0,"Biography,Drama,Music",8.0,345466,Bryan Singer,director
tt1659337,The Perks of Being a Wallflower,103.0,Drama,8.0,422671,John Malkovich,producer
tt6485666,Mersal,172.0,"Action,Thriller",8.0,21988,S.J. Surya,actor
tt1555149,Elite Squad: The Enemy Within,115.0,"Action,Crime,Drama",8.0,75071,Lula Carvalho,cinematographer
tt3614516,Ankhon Dekhi,107.0,"Comedy,Drama",8.0,8349,Rajat Kapoor,actor
tt7218518,Padman,140.0,"Comedy,Drama",8.0,15764,Twinkle Khanna,producer
