Movie ID,Primary Title,Movie Length,Genres,Average Rating,Num of Votes,Primary Name,Position,id,release_date,movie,production_budget,domestic_gross,worldwide_gross
tt1375666,Inception,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,Leonardo DiCaprio,actor,38,"Jul 16, 2010",Inception,"$160,000,000","$292,576,195","$835,524,642"
tt0816692,Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,Matthew McConaughey,actor,32,"Nov 5, 2014",Interstellar,"$165,000,000","$188,017,894","$666,379,375"
tt2582802,Whiplash,106.0,"Drama,Music",8.5,616916,Paul Reiser,actor,43,"Oct 10, 2014",Whiplash,"$3,300,000","$13,092,006","$38,969,037"
tt4154756,Avengers: Infinity War,149.0,"Action,Adventure,Sci-Fi",8.5,670926,Robert Downey Jr.,actor,7,"Apr 27, 2018",Avengers: Infinity War,"$300,000,000","$678,815,482","$2,048,134,200"
tt0770802,Samsara,102.0,"Documentary,Music",8.5,29725,Ron Fricke,director,18,"Aug 24, 2012",Samsara,"$4,000,000","$2,672,413","$5,966,671"
tt5074352,Dangal,161.0,"Action,Biography,Drama",8.5,123638,Aamir Khan,actor,56,"Dec 21, 2016",Dangal,"$9,500,000","$12,391,761","$294,654,618"
tt1853728,Django Unchained,165.0,"Drama,Western",8.4,1211405,Leonardo DiCaprio,actor,69,"Dec 25, 2012",Django Unchained,"$100,000,000","$162,805,434","$449,948,323"
tt1345836,The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769,Gary Oldman,actor,11,"Jul 20, 2012",The Dark Knight Rises,"$275,000,000","$448,139,099","$1,084,439,099"
tt2380307,Coco,105.0,"Adventure,Animation,Comedy",8.4,277194,Benjamin Bratt,actor,2,"Nov 22, 2017",Coco,"$175,000,000","$209,726,015","$798,008,101"
tt1645089,Inside Job,109.0,"Crime,Documentary",8.3,65304,Matt Damon,self,17,"Oct 8, 2010",Inside Job,"$2,000,000","$4,311,834","$7,799,257"
tt0435761,Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,682218,Tom Hanks,actor,47,"Jun 18, 2010",Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522"
tt6966692,Green Book,130.0,"Biography,Comedy,Drama",8.3,204972,Viggo Mortensen,actor,71,"Nov 16, 2018",Green Book,"$23,000,000","$85,080,171","$322,034,439"
tt4849438,Baahubali 2: The Conclusion,167.0,"Action,Drama",8.3,65656,S.S. Rajamouli,director,55,"Apr 28, 2017",Baahubali 2: The Conclusion,"$30,000,000","$18,985,794","$263,502,914"
tt1255953,Incendies,131.0,"Drama,Mystery,War",8.3,124156,Lubna Azabal,actress,76,"Sep 17, 2010",Incendies,"$6,800,000","$6,857,096","$16,038,343"
tt0993846,The Wolf of Wall Street,180.0,"Biography,Crime,Drama",8.2,1035358,Leonardo DiCaprio,actor,76,"Dec 25, 2013",The Wolf of Wall Street,"$100,000,000","$116,900,694","$389,870,414"
tt2375605,The Act of Killing,117.0,"Crime,Documentary",8.2,31115,Joram ten Brink,producer,66,"Jul 19, 2013",The Act of Killing,"$1,000,000","$486,919","$1,227,316"
tt5027774,"Three Billboards Outside Ebbing, Missouri",115.0,"Crime,Drama",8.2,344047,Woody Harrelson,actor,59,"Nov 10, 2017","Three Billboards Outside Ebbing, Missouri","$12,000,000","$54,513,740","$160,191,915"
tt3170832,Room,118.0,"Drama,Thriller",8.2,316791,Sean Bridgers,actor,80,"Oct 16, 2015",Room,"$13,000,000","$14,677,674","$36,262,783"
tt1291584,Warrior,140.0,"Drama,Sport",8.2,403755,Nick Nolte,actor,74,"Sep 9, 2011",Warrior,"$25,000,000","$13,657,115","$24,215,385"
tt2267998,Gone Girl,149.0,"Drama,Mystery,Thriller",8.1,761592,Ben Affleck,actor,36,"Oct 3, 2014",Gone Girl,"$61,000,000","$167,767,189","$368,567,189"
tt1979320,Rush,123.0,"Action,Biography,Drama",8.1,393437,Ron Howard,director,71,"Sep 20, 2013",Rush,"$38,000,000","$26,947,624","$98,230,839"
tt1454029,The Help,146.0,Drama,8.1,392699,Chris Columbus,producer,63,"Aug 10, 2011",The Help,"$25,000,000","$169,705,587","$213,120,004"
tt0848228,The Avengers,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,Robert Downey Jr.,actor,27,"May 4, 2012",The Avengers,"$225,000,000","$623,279,547","$1,517,935,897"
tt0848228,The Avengers,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,Robert Downey Jr.,actor,35,"Aug 14, 1998",The Avengers,"$60,000,000","$23,385,416","$48,585,416"
tt1895587,Spotlight,129.0,"Crime,Drama",8.1,365110,Michael Keaton,actor,34,"Nov 6, 2015",Spotlight,"$20,000,000","$45,055,776","$92,088,460"
tt2631186,Baahubali: The Beginning,159.0,"Action,Drama",8.1,93243,Ramya Krishnan,actress,21,"Jul 10, 2015",Baahubali: The Beginning,"$40,000,000","$6,738,000","$26,736,665"
tt3612616,Mommy,139.0,Drama,8.1,43020,Suzanne Clément,actress,1,"Jan 23, 2015",Mommy,"$4,900,000","$3,498,695","$17,536,004"
tt3315342,Logan,137.0,"Action,Drama,Sci-Fi",8.1,560270,Patrick Stewart,actor,59,"Mar 3, 2017",Logan,"$127,000,000","$226,277,068","$615,461,394"
tt2119532,Hacksaw Ridge,139.0,"Biography,Drama,History",8.1,366904,Mel Gibson,director,17,"Nov 4, 2016",Hacksaw Ridge,"$40,000,000","$67,209,615","$168,904,682"
tt2024544,12 Years a Slave,134.0,"Biography,Drama,History",8.1,577301,Brad Pitt,actor,18,"Oct 18, 2013",12 Years a Slave,"$20,000,000","$56,671,993","$181,025,343"
tt1130884,Shutter Island,138.0,"Mystery,Thriller",8.1,1005960,Leonardo DiCaprio,actor,52,"Feb 19, 2010",Shutter Island,"$80,000,000","$128,012,934","$299,461,782"
tt3741834,Lion,118.0,"Biography,Drama",8.1,181601,Nicole Kidman,actress,60,"Nov 25, 2016",Lion,"$12,000,000","$51,739,495","$149,570,720"
tt2015381,Guardians of the Galaxy,121.0,"Action,Adventure,Comedy",8.1,948394,Vin Diesel,actor,14,"Aug 1, 2014",Guardians of the Galaxy,"$170,000,000","$333,172,112","$770,867,516"
tt1392214,Prisoners,153.0,"Crime,Drama,Mystery",8.1,526273,Kira Davis,producer,48,"Sep 20, 2013",Prisoners,"$46,000,000","$61,002,302","$113,402,302"
tt1392190,Mad Max: Fury Road,120.0,"Action,Adventure,Sci-Fi",8.1,780910,Charlize Theron,actress,75,"May 15, 2015",Mad Max: Fury Road,"$150,000,000","$153,636,354","$370,098,020"
tt2486682,The Square,108.0,"Documentary,Drama,History",8.1,7998,Jehane Noujaim,director,10,"Apr 9, 2010",The Square,"$1,900,000","$406,216","$740,932"
tt2486682,The Square,108.0,"Documentary,Drama,History",8.1,7998,Jehane Noujaim,director,100,"Oct 25, 2013",The Square,"$1,500,000","$124,244","$176,262"
tt4995790,The Square,151.0,"Comedy,Drama",7.2,44239,Elisabeth Moss,actress,10,"Apr 9, 2010",The Square,"$1,900,000","$406,216","$740,932"
tt4995790,The Square,151.0,"Comedy,Drama",7.2,44239,Elisabeth Moss,actress,100,"Oct 25, 2013",The Square,"$1,500,000","$124,244","$176,262"
tt0790636,Dallas Buyers Club,117.0,"Biography,Drama",8.0,402462,Matthew McConaughey,actor,73,"Nov 1, 2013",Dallas Buyers Club,"$5,000,000","$27,298,285","$60,611,845"
tt3863552,Bajrangi Bhaijaan,163.0,"Action,Comedy,Drama",8.0,63747,Kareena Kapoor,actress,86,"Jul 17, 2015",Bajrangi Bhaijaan,"$13,000,000","$8,178,001","$121,778,347"
tt3576728,Bilal: A New Breed of Hero,105.0,"Action,Adventure,Animation",8.0,16854,Thomas Ian Nicholas,actor,100,"Feb 2, 2018",Bilal: A New Breed of Hero,"$30,000,000","$490,973","$648,599"
tt3659388,The Martian,144.0,"Adventure,Drama,Sci-Fi",8.0,680116,Matt Damon,actor,46,"Oct 2, 2015",The Martian,"$108,000,000","$228,433,663","$655,271,443"
tt1877832,X-Men: Days of Future Past,132.0,"Action,Adventure,Sci-Fi",8.0,620079,Bryan Singer,director,55,"May 23, 2014",X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775"
tt1856101,Blade Runner 2049,164.0,"Drama,Mystery,Sci-Fi",8.0,376241,Harrison Ford,actor,80,"Oct 6, 2017",Blade Runner 2049,"$185,000,000","$92,054,159","$259,357,408"
tt3783958,La La Land,128.0,"Comedy,Drama,Music",8.0,436070,Ryan Gosling,actor,92,"Dec 9, 2016",La La Land,"$20,000,000","$151,101,803","$426,351,163"
tt1727824,Bohemian Rhapsody,134.0,"Biography,Drama,Music",8.0,345466,Bryan Singer,director,84,"Nov 2, 2018",Bohemian Rhapsody,"$55,000,000","$216,303,339","$894,985,342"
tt1659337,The Perks of Being a Wallflower,103.0,Drama,8.0,422671,John Malkovich,producer,77,"Sep 21, 2012",The Perks of Being a Wallflower,"$13,000,000","$17,742,948","$33,069,303"
tt1798709,Her,126.0,"Drama,Romance,Sci-Fi",8.0,467232,Joaquin Phoenix,actor,80,"Jan 10, 2014",Her,"$23,000,000","$25,568,251","$48,163,815"
tt7961060,Dragon Ball Super: Broly,100.0,"Action,Adventure,Animation",8.0,16465,Toshio Furukawa,actor,36,"Jan 16, 2019",Dragon Ball Super: Broly,"$8,500,000","$30,376,755","$122,747,755"
tt2948356,Zootopia,108.0,"Adventure,Animation,Comedy",8.0,383446,Jason Bateman,actor,57,"Mar 4, 2016",Zootopia,"$150,000,000","$341,268,248","$1,019,429,616"
tt2543472,Wonder,113.0,"Drama,Family",8.0,111632,Julia Roberts,actress,95,"Nov 17, 2017",Wonder,"$20,000,000","$132,422,809","$304,604,712"
tt0947798,Black Swan,108.0,"Drama,Thriller",8.0,648854,Natalie Portman,actress,46,"Dec 3, 2010",Black Swan,"$13,000,000","$106,954,678","$331,266,710"
tt1431045,Deadpool,108.0,"Action,Adventure,Comedy",8.0,820847,Ryan Reynolds,actor,56,"Feb 12, 2016",Deadpool,"$58,000,000","$363,070,709","$801,025,593"
tt1663202,The Revenant,156.0,"Action,Adventure,Biography",8.0,621193,Leonardo DiCaprio,actor,27,"Dec 25, 2015",The Revenant,"$135,000,000","$183,637,894","$532,938,302"
tt2084970,The Imitation Game,114.0,"Biography,Drama,Thriller",8.0,620834,Matthew Goode,actor,6,"Nov 28, 2014",The Imitation Game,"$15,000,000","$91,125,143","$227,740,463"
tt1631867,Edge of Tomorrow,113.0,"Action,Sci-Fi",7.9,546284,Tom Cruise,actor,95,"Jun 6, 2014",Edge of Tomorrow,"$178,000,000","$100,206,256","$370,541,256"
tt2872718,Nightcrawler,117.0,"Crime,Drama,Thriller",7.9,404476,Bill Paxton,actor,34,"Oct 31, 2014",Nightcrawler,"$8,500,000","$32,381,218","$50,334,418"
tt6333060,Icarus,120.0,"Documentary,Sport,Thriller",7.9,28979,Dan Cogan,producer,91,"Feb 9, 2010",Icarus,"$6,000,000",$0,$0
tt2543164,Arrival,116.0,"Drama,Mystery,Sci-Fi",7.9,515483,Forest Whitaker,actor,34,"Nov 11, 2016",Arrival,"$47,000,000","$100,546,139","$203,127,894"
tt1398426,Straight Outta Compton,147.0,"Biography,Drama,History",7.9,165307,Matt Alvarez,producer,35,"Aug 14, 2015",Straight Outta Compton,"$28,000,000","$161,197,785","$202,182,981"
tt2209418,Before Midnight,109.0,"Drama,Romance",7.9,123107,Ethan Hawke,actor,99,"May 24, 2013",Before Midnight,"$3,000,000","$8,110,621","$23,251,930"
tt1602620,Amour,127.0,"Drama,Romance",7.9,84960,Isabelle Huppert,actress,51,"Dec 19, 2012",Amour,"$9,700,000","$6,738,954","$36,787,044"
tt3501632,Thor: Ragnarok,130.0,"Action,Adventure,Comedy",7.9,482995,Cate Blanchett,actress,82,"Nov 3, 2017",Thor: Ragnarok,"$180,000,000","$315,058,289","$846,980,024"
tt4698684,Hunt for the Wilderpeople,101.0,"Adventure,Comedy,Drama",7.9,87532,Sam Neill,actor,25,"Jun 24, 2016",Hunt for the Wilderpeople,"$2,500,000","$5,205,471","$23,845,533"
tt0903624,The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,Peter Jackson,director,19,"Dec 14, 2012",The Hobbit: An Unexpected Journey,"$250,000,000","$303,003,568","$1,017,003,568"
tt1065073,Boyhood,165.0,Drama,7.9,315584,Patricia Arquette,actress,85,"Jul 11, 2014",Boyhood,"$4,000,000","$25,379,975","$57,273,049"
tt5013056,Dunkirk,106.0,"Action,Drama,History",7.9,466580,Hans Zimmer,composer,69,"Jul 21, 2017",Dunkirk,"$150,000,000","$190,068,280","$499,837,368"
tt1655442,The Artist,100.0,"Comedy,Drama,Romance",7.9,217184,James Cromwell,actor,34,"Nov 25, 2011",The Artist,"$16,000,000","$44,667,095","$128,256,712"
tt0454876,Life of Pi,127.0,"Adventure,Drama,Fantasy",7.9,535836,Ang Lee,director,88,"Nov 21, 2012",Life of Pi,"$120,000,000","$124,987,022","$620,912,003"
tt4846340,Hidden Figures,127.0,"Biography,Drama,History",7.8,171131,Kevin Costner,actor,64,"Dec 25, 2016",Hidden Figures,"$25,000,000","$169,607,287","$231,771,716"
tt1568346,The Girl with the Dragon Tattoo,158.0,"Crime,Drama,Mystery",7.8,387580,David Fincher,director,51,"Dec 20, 2011",The Girl with the Dragon Tattoo,"$90,000,000","$102,515,793","$239,373,970"
tt3748528,Rogue One: A Star Wars Story,133.0,"Action,Adventure,Sci-Fi",7.8,478592,George Lucas,writer,45,"Dec 16, 2016",Rogue One: A Star Wars Story,"$200,000,000","$532,177,324","$1,049,102,856"
tt2350496,The Lunchbox,104.0,"Drama,Romance",7.8,42618,Lillete Dubey,actress,42,"Feb 28, 2014",The Lunchbox,"$1,700,000","$4,231,500","$12,231,500"
tt1596363,The Big Short,130.0,"Biography,Comedy,Drama",7.8,309227,Brad Pitt,actor,42,"Dec 11, 2015",The Big Short,"$28,000,000","$70,259,870","$133,162,752"
tt2245084,Big Hero 6,102.0,"Action,Adventure,Animation",7.8,371204,Scott Adsit,actor,29,"Nov 7, 2014",Big Hero 6,"$165,000,000","$222,527,828","$652,127,828"
tt1170358,The Hobbit: The Desolation of Smaug,161.0,"Adventure,Fantasy",7.8,565563,Peter Jackson,director,21,"Dec 13, 2013",The Hobbit: The Desolation of Smaug,"$250,000,000","$258,366,855","$960,366,855"
tt1490017,The Lego Movie,100.0,"Action,Adventure,Animation",7.8,304179,Will Ferrell,actor,44,"Feb 7, 2014",The Lego Movie,"$60,000,000","$257,784,718","$457,729,388"
tt5463162,Deadpool 2,119.0,"Action,Adventure,Comedy",7.8,391735,Josh Brolin,actor,15,"May 18, 2018",Deadpool 2,"$110,000,000","$324,591,735","$786,680,557"
tt1535109,Captain Phillips,134.0,"Biography,Drama,Thriller",7.8,387402,Tom Hanks,actor,92,"Oct 11, 2013",Captain Phillips,"$55,000,000","$107,136,417","$220,648,184"
tt3498820,Captain America: Civil War,147.0,"Action,Adventure,Sci-Fi",7.8,583507,Robert Downey Jr.,actor,17,"May 6, 2016",Captain America: Civil War,"$250,000,000","$408,084,349","$1,140,069,413"
tt2582496,Me and Earl and the Dying Girl,105.0,"Comedy,Drama,Romance",7.8,112627,Alfonso Gomez-Rejon,director,100,"Jun 12, 2015",Me and Earl and the Dying Girl,"$8,000,000","$6,758,416","$9,266,180"
tt1074638,Skyfall,143.0,"Action,Adventure,Thriller",7.8,592221,Javier Bardem,actor,52,"Nov 8, 2012",Skyfall,"$200,000,000","$304,360,277","$1,110,526,981"
tt0964517,The Fighter,116.0,"Biography,Drama,Sport",7.8,316539,Mark Wahlberg,actor,68,"Dec 10, 2010",The Fighter,"$11,000,000","$93,617,009","$129,262,388"
tt2194499,About Time,123.0,"Comedy,Drama,Fantasy",7.8,263136,Nicky Kentish Barnes,producer,95,"Nov 1, 2013",About Time,"$12,000,000","$15,323,921","$89,309,178"
tt0398286,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,Ron Perlman,actor,15,"Nov 24, 2010",Tangled,"$260,000,000","$200,821,936","$586,477,240"
tt1646971,How to Train Your Dragon 2,102.0,"Action,Adventure,Animation",7.8,278205,Cate Blanchett,actress,99,"Jun 13, 2014",How to Train Your Dragon 2,"$145,000,000","$177,002,924","$614,586,270"
tt0780504,Drive,100.0,"Crime,Drama",7.8,521495,Albert Brooks,actor,36,"Sep 16, 2011",Drive,"$15,000,000","$35,060,689","$81,357,930"
tt3460252,The Hateful Eight,168.0,"Crime,Drama,Mystery",7.8,434966,Samuel L. Jackson,actor,33,"Dec 25, 2015",The Hateful Eight,"$62,000,000","$54,117,416","$147,864,886"
tt4034228,Manchester by the Sea,137.0,Drama,7.8,214557,Matt Damon,producer,30,"Nov 18, 2016",Manchester by the Sea,"$8,500,000","$47,695,371","$77,733,867"
tt4302938,Kubo and the Two Strings,101.0,"Action,Adventure,Animation",7.8,105578,Ralph Fiennes,actor,22,"Aug 19, 2016",Kubo and the Two Strings,"$55,000,000","$48,023,088","$77,548,122"
tt1843866,Captain America: The Winter Soldier,136.0,"Action,Adventure,Sci-Fi",7.8,666252,Samuel L. Jackson,actor,16,"Apr 4, 2014",Captain America: The Winter Soldier,"$170,000,000","$259,746,958","$714,401,889"
tt2980794,Highway,133.0,"Crime,Drama,Romance",7.7,23434,A.R. Rahman,composer,89,"Dec 31, 2012",Highway,"$2,000,000",$0,$0
tt1285016,The Social Network,120.0,"Biography,Drama",7.7,568578,David Fincher,director,91,"Oct 1, 2010",The Social Network,"$40,000,000","$96,962,694","$224,922,135"
tt1821549,Nebraska,115.0,"Adventure,Comedy,Drama",7.7,105304,Bruce Dern,actor,91,"Nov 15, 2013",Nebraska,"$12,000,000","$17,654,912","$24,761,360"
tt1306980,50/50,100.0,"Comedy,Drama,Romance",7.7,300475,Michael Giacchino,composer,73,"Sep 30, 2011",50/50,"$8,000,000","$35,016,118","$41,334,735"
tt1024648,Argo,120.0,"Biography,Drama,Thriller",7.7,534683,George Clooney,producer,27,"Oct 12, 2012",Argo,"$44,500,000","$136,025,503","$227,140,757"
tt5052448,Get Out,104.0,"Horror,Mystery,Thriller",7.7,400474,Catherine Keener,actress,49,"Feb 24, 2017",Get Out,"$5,000,000","$176,040,665","$255,367,951"
tt2802144,Kingsman: The Secret Service,129.0,"Action,Adventure,Comedy",7.7,544510,Colin Firth,actor,29,"Feb 13, 2015",Kingsman: The Secret Service,"$94,000,000","$128,261,724","$404,561,724"
tt1270798,X-Men: First Class,131.0,"Action,Adventure,Sci-Fi",7.7,608930,Kevin Bacon,actor,42,"Jun 3, 2011",X-Men: First Class,"$160,000,000","$146,408,305","$355,408,305"
tt2066051,Rocketman,121.0,"Biography,Drama,Music",7.7,24266,Dexter Fletcher,director,71,"May 31, 2019",Rocketman,"$41,000,000","$57,342,725","$108,642,725"
tt3606756,Incredibles 2,118.0,"Action,Adventure,Animation",7.7,203510,Holly Hunter,actress,44,"Jun 15, 2018",Incredibles 2,"$200,000,000","$608,581,744","$1,242,520,711"
tt1408101,Star Trek Into Darkness,132.0,"Action,Adventure,Sci-Fi",7.7,445535,J.J. Abrams,director,68,"May 16, 2013",Star Trek Into Darkness,"$190,000,000","$228,778,661","$467,381,584"
tt2980516,The Theory of Everything,123.0,"Biography,Drama,Romance",7.7,361534,Tim Bevan,producer,35,"Nov 7, 2014",The Theory of Everything,"$15,000,000","$35,893,537","$123,327,692"
tt1045658,Silver Linings Playbook,122.0,"Comedy,Drama,Romance",7.7,621018,Robert De Niro,actor,59,"Nov 16, 2012",Silver Linings Playbook,"$21,000,000","$132,092,958","$236,412,453"
tt1942884,Indie Game: The Movie,103.0,"Documentary,Drama",7.7,19538,Lisanne Pajot,director,92,"May 18, 2012",Indie Game: The Movie,"$100,000",$0,$0
tt1772341,Wreck-It Ralph,101.0,"Adventure,Animation,Comedy",7.7,344496,John C. Reilly,actor,31,"Nov 2, 2012",Wreck-It Ralph,"$165,000,000","$189,412,677","$496,511,521"
tt3829920,Only the Brave,134.0,"Action,Biography,Drama",7.7,45482,Jennifer Connelly,actress,75,"Oct 20, 2017",Only the Brave,"$38,000,000","$18,340,051","$24,555,177"
tt2582846,The Fault in Our Stars,126.0,"Drama,Romance",7.7,315135,Laura Dern,actress,43,"Jun 6, 2014",The Fault in Our Stars,"$12,000,000","$124,872,350","$307,166,834"
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),119.0,"Comedy,Drama",7.7,519417,Michael Keaton,actor,86,"Oct 17, 2014",Birdman or (The Unexpected Virtue of Ignorance),"$18,000,000","$42,340,598","$103,215,094"
tt0470752,Ex Machina,108.0,"Drama,Mystery,Sci-Fi",7.7,424542,Geoff Barrow,composer,72,"Apr 10, 2015",Ex Machina,"$13,000,000","$25,440,971","$38,358,392"
tt1754656,The Little Prince,108.0,"Adventure,Animation,Drama",7.7,50015,Jeff Bridges,actor,19,"Feb 12, 2016",The Little Prince,"$77,500,000","$1,311,213","$102,028,919"
tt4481414,Gifted,101.0,Drama,7.6,82426,Tom Flynn,writer,4,"Apr 7, 2017",Gifted,"$7,000,000","$24,801,212","$36,964,656"
tt5083738,The Favourite,119.0,"Biography,Drama,History",7.6,116011,Rachel Weisz,actress,39,"Nov 23, 2018",The Favourite,"$15,000,000","$34,366,783","$94,113,929"
tt2713180,Fury,134.0,"Action,Drama,War",7.6,381993,Brad Pitt,actor,68,"Oct 17, 2014",Fury,"$80,000,000","$85,817,906","$210,315,681"
tt1250777,Kick-Ass,117.0,"Action,Comedy",7.6,497363,Nicolas Cage,actor,54,"Apr 16, 2010",Kick-Ass,"$28,000,000","$48,071,303","$97,531,134"
tt0840361,The Town,125.0,"Crime,Drama,Thriller",7.6,322524,Ben Affleck,actor,92,"Sep 17, 2010",The Town,"$37,000,000","$92,186,262","$152,566,881"
tt3521164,Moana,107.0,"Adventure,Animation,Comedy",7.6,224253,Ron Clements,director,62,"Nov 23, 2016",Moana,"$150,000,000","$248,757,044","$637,517,365"
tt1403865,True Grit,110.0,"Adventure,Drama,Western",7.6,284034,Jeff Bridges,actor,29,"Dec 22, 2010",True Grit,"$35,000,000","$171,243,005","$252,276,928"
tt0816442,The Book Thief,131.0,"Drama,War",7.6,119023,Geoffrey Rush,actor,41,"Nov 8, 2013",The Book Thief,"$19,000,000","$21,488,481","$76,086,711"
tt1855199,End of Watch,109.0,"Action,Crime,Drama",7.6,211308,David Ayer,director,29,"Sep 21, 2012",End of Watch,"$15,000,000","$41,003,371","$57,586,606"
tt6206564,Trapped,105.0,"Action,Drama,Thriller",7.6,7683,Vikramaditya Motwane,director,87,"Sep 20, 2002",Trapped,"$30,000,000","$6,916,869","$6,916,869"
tt1485796,The Greatest Showman,105.0,"Biography,Drama,Musical",7.6,199663,Jenny Bicks,writer,25,"Dec 20, 2017",The Greatest Showman,"$84,000,000","$174,340,174","$386,665,550"
tt1318514,Rise of the Planet of the Apes,105.0,"Action,Drama,Sci-Fi",7.6,473020,Pierre Boulle,writer,31,"Aug 5, 2011",Rise of the Planet of the Apes,"$93,000,000","$176,760,185","$470,986,200"
tt6499752,Upgrade,100.0,"Action,Sci-Fi,Thriller",7.6,104978,Jason Blum,producer,89,"Jun 1, 2018",Upgrade,"$3,000,000","$11,977,130","$16,553,285"
tt2386490,How to Train Your Dragon: The Hidden World,104.0,"Action,Adventure,Animation",7.6,60769,F. Murray Abraham,actor,56,"Feb 22, 2019",How to Train Your Dragon: The Hidden World,"$129,000,000","$160,791,800","$519,258,283"
tt2103281,Dawn of the Planet of the Apes,130.0,"Action,Adventure,Drama",7.6,390199,Gary Oldman,actor,17,"Jul 11, 2014",Dawn of the Planet of the Apes,"$170,000,000","$208,545,589","$710,644,566"
tt1210166,Moneyball,133.0,"Biography,Drama,Sport",7.6,326657,Brad Pitt,actor,15,"Sep 23, 2011",Moneyball,"$50,000,000","$75,605,492","$111,300,835"
tt1649419,The Impossible,114.0,"Drama,History,Thriller",7.6,177762,Ewan McGregor,actor,100,"Dec 21, 2012",The Impossible,"$40,000,000","$19,019,882","$169,590,606"
tt3890160,Baby Driver,113.0,"Action,Crime,Drama",7.6,363977,Tim Bevan,producer,59,"Jun 28, 2017",Baby Driver,"$34,000,000","$107,825,862","$228,104,185"
tt2582782,Hell or High Water,102.0,"Action,Crime,Drama",7.6,176469,Jeff Bridges,actor,77,"Aug 12, 2016",Hell or High Water,"$12,000,000","$27,007,844","$37,584,304"
tt3076658,Creed,133.0,"Drama,Sport",7.6,224671,Sylvester Stallone,actor,91,"Nov 25, 2015",Creed,"$37,000,000","$109,767,581","$173,567,581"
tt5462602,The Big Sick,120.0,"Comedy,Drama,Romance",7.6,104008,Holly Hunter,actress,64,"Jun 23, 2017",The Big Sick,"$5,000,000","$42,872,467","$53,972,860"
tt3397884,Sicario,121.0,"Action,Crime,Drama",7.6,328548,Josh Brolin,actor,100,"Sep 18, 2015",Sicario,"$30,000,000","$46,889,293","$84,393,749"
tt5649144,The Florida Project,111.0,Drama,7.6,72193,Willem Dafoe,actor,11,"Oct 6, 2017",The Florida Project,"$2,000,000","$5,904,366","$11,295,324"
tt3682448,Bridge of Spies,142.0,"Drama,History,Thriller",7.6,263004,Tom Hanks,actor,10,"Oct 16, 2015",Bridge of Spies,"$40,000,000","$72,313,754","$162,498,338"
