id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,popularity,title,vote_average,vote_count,weighted_rating
1,2009-12-18,Avatar,425000000,760507625,2776345279,6,"Action, Adventure, Fantasy, Science Fiction",26.526,Avatar,7.4,18676,7.330873052134844
67,2009-12-18,Did You Hear About the Morgans?,58000000,29580087,80480566,6,"Action, Adventure, Fantasy, Science Fiction",26.526,Avatar,7.4,18676,7.330873052134844
100,2009-12-18,Nine,80000000,19676965,53508858,6,"Action, Adventure, Fantasy, Science Fiction",26.526,Avatar,7.4,18676,7.330873052134844
28,2009-12-18,The Young Victoria,35000000,11001272,31878891,6,"Action, Adventure, Fantasy, Science Fiction",26.526,Avatar,7.4,18676,7.330873052134844
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,14172,"Action, Adventure, Science Fiction, Fantasy",32.281,Star Wars: The Force Awakens,7.4,12641,7.304200772206053
56,2015-12-18,Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956,14172,"Action, Adventure, Science Fiction, Fantasy",32.281,Star Wars: The Force Awakens,7.4,12641,7.304200772206053
57,2015-12-18,Sisters,30000000,87044645,106030660,14172,"Action, Adventure, Science Fiction, Fantasy",32.281,Star Wars: The Force Awakens,7.4,12641,7.304200772206053
45,2015-12-18,Saul fia,1700000,1777043,9696537,14172,"Action, Adventure, Science Fiction, Fantasy",32.281,Star Wars: The Force Awakens,7.4,12641,7.304200772206053
7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,23811,"Adventure, Action, Fantasy",80.773,Avengers: Infinity War,8.3,13948,8.052277807297314
34,2015-06-12,Jurassic World,215000000,652270625,1648854864,14193,"Action, Adventure, Science Fiction, Thriller",20.709,Jurassic World,6.6,14056,6.652861414052232
100,2015-06-12,Me and Earl and the Dying Girl,8000000,6758416,9266180,14193,"Action, Adventure, Science Fiction, Thriller",20.709,Jurassic World,6.6,14056,6.652861414052232
67,2015-04-03,Furious 7,190000000,353007020,1518722794,14196,"Action, Crime, Thriller",20.396,Furious 7,7.3,6538,7.174355659265556
27,2012-05-04,The Avengers,225000000,623279547,1517935897,5179,"Science Fiction, Action, Adventure",50.289,The Avengers,7.6,19673,7.5074495778271455
55,2012-05-04,The Best Exotic Marigold Hotel,10000000,46383639,134639780,5179,"Science Fiction, Action, Adventure",50.289,The Avengers,7.6,19673,7.5074495778271455
14,2012-05-04,LOL,11000000,0,10431506,5179,"Science Fiction, Action, Adventure",50.289,The Avengers,7.6,19673,7.5074495778271455
39,2012-05-04,A Little Bit of Heaven,12500000,10011,1100287,5179,"Science Fiction, Action, Adventure",50.289,The Avengers,7.6,19673,7.5074495778271455
4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,14169,"Action, Adventure, Science Fiction",44.383,Avengers: Age of Ultron,7.3,13457,7.227180183391558
61,2011-07-15,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1341693157,2471,"Family, Fantasy, Adventure",29.206,Harry Potter and the Deathly Hallows: Part 2,8.1,11567,7.852976198124177
39,2011-07-15,Winnie the Pooh,30000000,26692846,50145607,2471,"Family, Fantasy, Adventure",29.206,Harry Potter and the Deathly Hallows: Part 2,8.1,11567,7.852976198124177
70,2011-07-15,Snow Flower and the Secret Fan,6000000,1348205,11348205,2471,"Family, Fantasy, Adventure",29.206,Harry Potter and the Deathly Hallows: Part 2,8.1,11567,7.852976198124177
31,2011-07-15,Salvation Boulevard,5500000,28468,28468,2471,"Family, Fantasy, Adventure",29.206,Harry Potter and the Deathly Hallows: Part 2,8.1,11567,7.852976198124177
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,20624,"Fantasy, Adventure, Science Fiction, Action",34.293,Star Wars: The Last Jedi,7.0,8534,6.974129033992966
14,2017-12-15,Ferdinand,111000000,84410380,289847930,20624,"Fantasy, Adventure, Science Fiction, Action",34.293,Star Wars: The Last Jedi,7.0,8534,6.974129033992966
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,23829,"Action, Adventure, Science Fiction",34.958,Jurassic World: Fallen Kingdom,6.5,5995,6.633585800786532
56,2013-11-22,Frozen,150000000,400738009,1272469910,7893,"Adventure, Action, Science Fiction",20.187,The Hunger Games: Catching Fire,7.4,11170,7.294255771212058
56,2013-11-22,Frozen,150000000,400738009,1272469910,7970,"Drama, History",12.389,Dallas Buyers Club,7.9,4961,7.523364436386744
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,7893,"Adventure, Action, Science Fiction",20.187,The Hunger Games: Catching Fire,7.4,11170,7.294255771212058
