id,release_date,movie,production_budget,domestic_gross,worldwide_gross,genre_ids,popularity,title,vote_average,vote_count
1,2009-12-18,Avatar,425000000,760507625,2776345279,"Action, Adventure, Fantasy, Science Fiction",26.526,Avatar,7.4,18676
67,2009-12-18,Did You Hear About the Morgans?,58000000,29580087,80480566,"Action, Adventure, Fantasy, Science Fiction",26.526,Avatar,7.4,18676
100,2009-12-18,Nine,80000000,19676965,53508858,"Action, Adventure, Fantasy, Science Fiction",26.526,Avatar,7.4,18676
28,2009-12-18,The Young Victoria,35000000,11001272,31878891,"Action, Adventure, Fantasy, Science Fiction",26.526,Avatar,7.4,18676
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,"Action, Adventure, Science Fiction, Fantasy",32.281,Star Wars: The Force Awakens,7.4,12641
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,"Adventure, Animation, Comedy, Family",14.973,Alvin and the Chipmunks: The Road Chip,5.8,852
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,Comedy,10.993,Sisters,5.9,922
56,2015-12-18,Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956,"Action, Adventure, Science Fiction, Fantasy",32.281,Star Wars: The Force Awakens,7.4,12641
56,2015-12-18,Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956,"Adventure, Animation, Comedy, Family",14.973,Alvin and the Chipmunks: The Road Chip,5.8,852
56,2015-12-18,Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956,Comedy,10.993,Sisters,5.9,922
57,2015-12-18,Sisters,30000000,87044645,106030660,"Action, Adventure, Science Fiction, Fantasy",32.281,Star Wars: The Force Awakens,7.4,12641
57,2015-12-18,Sisters,30000000,87044645,106030660,"Adventure, Animation, Comedy, Family",14.973,Alvin and the Chipmunks: The Road Chip,5.8,852
57,2015-12-18,Sisters,30000000,87044645,106030660,Comedy,10.993,Sisters,5.9,922
45,2015-12-18,Saul fia,1700000,1777043,9696537,"Action, Adventure, Science Fiction, Fantasy",32.281,Star Wars: The Force Awakens,7.4,12641
45,2015-12-18,Saul fia,1700000,1777043,9696537,"Adventure, Animation, Comedy, Family",14.973,Alvin and the Chipmunks: The Road Chip,5.8,852
45,2015-12-18,Saul fia,1700000,1777043,9696537,Comedy,10.993,Sisters,5.9,922
7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,"Adventure, Action, Fantasy",80.773,Avengers: Infinity War,8.3,13948
7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,Comedy,11.268,Candy Jar,6.4,281
7,2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,Comedy,8.669,The Week Of,5.1,344
34,2015-06-12,Jurassic World,215000000,652270625,1648854864,Drama,10.702,Madame Bovary,5.5,224
34,2015-06-12,Jurassic World,215000000,652270625,1648854864,"Action, Adventure, Science Fiction, Thriller",20.709,Jurassic World,6.6,14056
34,2015-06-12,Jurassic World,215000000,652270625,1648854864,"Comedy, Drama",8.677,Me and Earl and the Dying Girl,7.6,1570
100,2015-06-12,Me and Earl and the Dying Girl,8000000,6758416,9266180,Drama,10.702,Madame Bovary,5.5,224
100,2015-06-12,Me and Earl and the Dying Girl,8000000,6758416,9266180,"Action, Adventure, Science Fiction, Thriller",20.709,Jurassic World,6.6,14056
100,2015-06-12,Me and Earl and the Dying Girl,8000000,6758416,9266180,"Comedy, Drama",8.677,Me and Earl and the Dying Girl,7.6,1570
67,2015-04-03,Furious 7,190000000,353007020,1518722794,"Action, Crime, Thriller",20.396,Furious 7,7.3,6538
67,2015-04-03,Furious 7,190000000,353007020,1518722794,"Action, Adventure",12.334,Last Knights,6.3,531
27,2012-05-04,The Avengers,225000000,623279547,1517935897,"Science Fiction, Action, Adventure",50.289,The Avengers,7.6,19673
27,2012-05-04,The Avengers,225000000,623279547,1517935897,"Drama, Comedy, Romance",12.43,LOL,6.1,1810
55,2012-05-04,The Best Exotic Marigold Hotel,10000000,46383639,134639780,"Science Fiction, Action, Adventure",50.289,The Avengers,7.6,19673
55,2012-05-04,The Best Exotic Marigold Hotel,10000000,46383639,134639780,"Drama, Comedy, Romance",12.43,LOL,6.1,1810
14,2012-05-04,LOL,11000000,0,10431506,"Science Fiction, Action, Adventure",50.289,The Avengers,7.6,19673
14,2012-05-04,LOL,11000000,0,10431506,"Drama, Comedy, Romance",12.43,LOL,6.1,1810
39,2012-05-04,A Little Bit of Heaven,12500000,10011,1100287,"Science Fiction, Action, Adventure",50.289,The Avengers,7.6,19673
39,2012-05-04,A Little Bit of Heaven,12500000,10011,1100287,"Drama, Comedy, Romance",12.43,LOL,6.1,1810
4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,"Action, Adventure, Science Fiction",44.383,Avengers: Age of Ultron,7.3,13457
4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,"Drama, Romance",8.683,Far from the Madding Crowd,7.0,586
42,2018-02-16,Black Panther,200000000,700059566,1348258224,"Comedy, Drama",7.233,The Party,6.4,229
42,2018-02-16,Black Panther,200000000,700059566,1348258224,"Family, Comedy, Animation, Adventure",16.675,Early Man,5.9,338
42,2018-02-16,Black Panther,200000000,700059566,1348258224,"Comedy, Romance, Drama",10.783,Irreplaceable You,7.0,410
98,2018-02-16,Early Man,50000000,8267544,45285890,"Comedy, Drama",7.233,The Party,6.4,229
98,2018-02-16,Early Man,50000000,8267544,45285890,"Family, Comedy, Animation, Adventure",16.675,Early Man,5.9,338
98,2018-02-16,Early Man,50000000,8267544,45285890,"Comedy, Romance, Drama",10.783,Irreplaceable You,7.0,410
61,2011-07-15,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1341693157,"Family, Fantasy, Adventure",29.206,Harry Potter and the Deathly Hallows: Part 2,8.1,11567
39,2011-07-15,Winnie the Pooh,30000000,26692846,50145607,"Family, Fantasy, Adventure",29.206,Harry Potter and the Deathly Hallows: Part 2,8.1,11567
70,2011-07-15,Snow Flower and the Secret Fan,6000000,1348205,11348205,"Family, Fantasy, Adventure",29.206,Harry Potter and the Deathly Hallows: Part 2,8.1,11567
31,2011-07-15,Salvation Boulevard,5500000,28468,28468,"Family, Fantasy, Adventure",29.206,Harry Potter and the Deathly Hallows: Part 2,8.1,11567
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,"Fantasy, Adventure, Science Fiction, Action",34.293,Star Wars: The Last Jedi,7.0,8534
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,"Animation, Family, Adventure, Comedy",19.479,Ferdinand,7.1,1425
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,Romance,8.323,Christmas Inheritance,6.5,444
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,"Action, Science Fiction, Adventure, Horror",4.043,Beyond Skyline,4.9,523
14,2017-12-15,Ferdinand,111000000,84410380,289847930,"Fantasy, Adventure, Science Fiction, Action",34.293,Star Wars: The Last Jedi,7.0,8534
14,2017-12-15,Ferdinand,111000000,84410380,289847930,"Animation, Family, Adventure, Comedy",19.479,Ferdinand,7.1,1425
