Unnamed: 0,genre_ids,popularity,release_date,title,vote_average,vote_count,weighted_rating
0,"Adventure, Fantasy, Family",33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,7.526051949381699
1,"Fantasy, Adventure, Animation, Family",28.734,2010-03-26,How to Train Your Dragon,7.7,7610,7.4739495078298654
2,"Adventure, Action, Science Fiction",28.515,2010-05-07,Iron Man 2,6.8,12368,6.81962547358634
3,"Animation, Comedy, Family",28.005,1995-11-22,Toy Story,7.9,10174,7.672400506913228
4,"Action, Science Fiction, Adventure",27.92,2010-07-16,Inception,8.3,22186,8.133304386487527
5,"Adventure, Fantasy, Family",26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,6.4322180492564485
6,"Action, Adventure, Fantasy, Science Fiction",26.526,2009-12-18,Avatar,7.4,18676,7.330873052134844
7,"Animation, Family, Comedy",24.445,2010-06-17,Toy Story 3,7.7,8340,7.488501259089494
8,"Animation, Family, Comedy",23.673000000000002,2010-07-09,Despicable Me,7.2,10057,7.131194323204019
9,"Animation, Action, Comedy, Family, Science Fiction",22.855,2010-11-04,Megamind,6.8,3635,6.845456560373002
10,"Animation, Comedy, Family",22.698,1999-11-24,Toy Story 2,7.5,7553,7.329584409937919
11,"Family, Fantasy, Adventure",22.02,2010-03-05,Alice in Wonderland,6.6,8713,6.6769746672991435
12,"Thriller, Adventure, Action",21.517,2010-08-03,The Expendables,6.1,4647,6.414058359889482
13,"Animation, Family",21.511,2010-11-24,Tangled,7.5,6407,7.308823671529166
15,"Adventure, Fantasy, Drama, Romance",20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,6.34158607637816
16,"Action, Thriller, Science Fiction",18.985,2010-01-11,The Book of Eli,6.7,3495,6.792625754899903
18,"Action, Drama, Thriller",18.199,2004-07-23,The Bourne Supremacy,7.3,4367,7.137329208371775
19,"Drama, Thriller, Mystery",18.06,2010-02-18,Shutter Island,8.1,12625,7.869702673796792
20,"Action, Drama, Mystery, Thriller",17.935,2002-06-14,The Bourne Identity,7.4,5406,7.221746880570411
22,"Adventure, Family, Fantasy",17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,6.59076892803016
25,"Drama, History",16.798,2010-09-06,The King's Speech,7.7,5013,7.400686918516769
29,Drama,15.889000000000001,2010-10-01,The Social Network,7.2,6116,7.101448472803299
32,"Action, Thriller, Science Fiction, Adventure",15.799000000000001,1998-07-01,Armageddon,6.7,4267,6.78278578203865
33,"Action, Drama, Mystery, Thriller",15.62,2007-08-03,The Bourne Ultimatum,7.4,4440,7.198602725547698
34,"Adventure, Fantasy, Action",15.574000000000002,2010-04-02,Clash of the Titans,5.7,3714,6.236431974690925
38,"Comedy, Adventure, Fantasy, Animation, Family",15.040999999999999,2010-05-16,Shrek Forever After,6.1,3843,6.450957807697628
39,Comedy,14.69,2010-09-17,Easy A,6.8,4168,6.842076489686784
41,"Action, Comedy, Romance",14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,7.125865195884172
